SMILES,MN,WTPT-5,nHBAcc_Lipinski,ETA_BetaP_s,WTPT-3,minHBa,ETA_dEpsilon_C,ETA_dEpsilon_A,ETA_Epsilon_4,ETA_Epsilon_1,TopoPSA,MLFER_S,nHBAcc,nN,maxsssCH,ETA_EtaP_F,ETA_Eta_F_L
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCSCC5)cc4,1,3.406644,5,0.62879,21.00858,-1.60401,-0.07546,0.14161,0.52051,0.58667,112.76,3.09,1,1,0.278902,0.88439,7.1717
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCS(=O)(=O)CC5)cc4,1,3.414648,7,0.63571,26.34478,-1.65882,-0.09984,0.17072,0.54417,0.61505,129.98,4.284,3,1,0.222996,1.00862,8.31969
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCC(F)CC5)cc4,1,3.41438,5,0.63235,20.53861,-1.64018,-0.08591,0.15286,0.5306,0.59754,87.46,2.895,1,1,0.240834,0.93168,7.7707
Oc1ccc(cc1F)c2oc3c(C=C)c(Br)c(O)c(Br)c3n2,1,3.1671,4,0.625,18.99493,5.820693,-0.14135,0.28299,0.58328,0.72492,66.49,2.201,1,1,0,1.03942,6.2841
COc1cc(O)c(Br)c2nc(oc12)c3ccc(O)c(F)c3,1,3.167522,5,0.65476,19.28581,5.173493,-0.16106,0.29255,0.60343,0.73492,75.72,2.297,1,1,0,1.03942,6.19067
COc1c(Br)c(O)c(Br)c2nc(oc12)c3ccc(O)c(F)c3,1,3.1671,5,0.64773,21.79782,5.362729,-0.17235,0.30854,0.61429,0.75048,75.72,2.265,1,1,0,1.01381,6.20386
COc1cc(O)c(Cl)c2cc(oc12)c3ccc(O)cc3,1,0,4,0.6375,13.60208,0.50973,-0.11831,0.23625,0.56116,0.67911,62.83,1.95,0,0,0,1.01976,6.01328
COc1cc(O)c(C#N)c2cc(oc12)c3ccc(O)cc3,1,2.486297,5,0.63095,13.56753,5.172954,-0.1156,0.22846,0.55797,0.67083,86.62,2.455,1,1,0,1.09304,6.57611
Oc1ccc(cc1)c2oc3c(Cl)cc(O)cc3c2,1,0,3,0.625,10.78019,0.624361,-0.10443,0.23325,0.54843,0.67725,53.6,1.952,0,0,0,0.97392,5.49813
Cc1cc(O)cc2cc(oc12)c3ccc(O)cc3,1,0,3,0.61111,8.222205,5.786989,-0.07191,0.17267,0.51591,0.61667,53.6,1.833,0,0,0,0.94496,5.38627
Cc1cc(O)cc2cc(oc12)c3ccc(O)c(F)c3,1,0,3,0.61842,10.73811,5.675322,-0.10693,0.22375,0.55033,0.66714,53.6,1.841,0,0,0,0.99821,5.65571
Oc1ccc(cc1)c2oc3c(CC#N)cc(O)cc3c2,1,2.450157,4,0.6125,10.71894,5.788794,-0.09492,0.2023,0.53778,0.64516,77.39,2.636,1,1,0,1.02513,6.18041
Oc1cc(CC#N)c2oc(cc2c1)c3ccc(O)c(F)c3,1,2.450165,4,0.61905,13.23532,5.677128,-0.12906,0.25164,0.57143,0.69401,77.39,2.644,1,1,0,1.07457,6.44986
Oc1ccc(cc1)c2oc3c(CC#N)cc(O)c(Br)c3c2,1,2.449889,4,0.60714,13.26244,5.907035,-0.10578,0.21784,0.54815,0.66022,77.39,2.685,1,1,0,1.00656,6.19399
Oc1ccc(cc1)c2oc3c(CC#N)cc(O)c(Cl)c3c2,1,2.449889,4,0.61905,13.26244,0.482358,-0.11953,0.23781,0.5619,0.68018,77.39,2.606,1,1,0,1.05152,6.36394
CC(=O)c1cc(O)cc2cc(oc12)c3ccc(O)cc3,1,0,4,0.6125,10.6888,5.727822,-0.09772,0.20298,0.54058,0.64583,70.67,2.304,1,0,0,1.02948,5.98345
CCC(=O)c1cc(O)cc2cc(oc12)c3ccc(O)cc3,1,0,4,0.60714,10.76819,5.789489,-0.09164,0.18525,0.53401,0.62762,70.67,2.304,1,0,0,1.01227,5.92923
Oc1ccc(cc1)c2oc3c(C=O)cc(O)cc3c2,1,0,4,0.61842,10.73936,5.646989,-0.10467,0.22442,0.54806,0.66782,70.67,2.328,1,0,0,1.03058,5.97695
Oc1ccc(cc1)c2oc3c(cc(O)cc3c2)C#N,1,2.4861,4,0.61842,10.73936,5.655739,-0.10184,0.22446,0.54524,0.66786,77.39,2.332,1,1,0,1.04635,6.06057
Oc1cc(C#N)c2oc(cc2c1)c3ccc(O)c(F)c3,1,2.486116,4,0.625,13.25559,5.544072,-0.13844,0.27908,0.58129,0.72194,77.39,2.34,1,1,0,1.09603,6.33002
Oc1ccc2nc(oc2c1)c3ccc4cc(O)ccc4c3,1,3.174506,4,0.64286,11.43628,5.687062,-0.07916,0.19951,0.52653,0.64688,66.49,2.459,1,1,0,1.03574,6.61465
Oc1ccc(c(O)c1)c2oc3cc(O)ccc3n2,1,3.162983,5,0.65278,13.9403,5.442868,-0.12267,0.25106,0.56667,0.69506,86.72,2.377,1,1,0,1.01654,5.66443
Oc1ccc(cc1)c2oc3cc(O)ccc3n2,1,3.163909,4,0.64706,11.39448,5.522035,-0.09891,0.2207,0.54359,0.66539,66.49,2.117,1,1,0,0.96265,5.40842
Oc1ccc2nc(oc2c1)c3cccc(O)c3O,1,3.162871,5,0.65278,13.93228,5.428519,-0.12267,0.25106,0.56667,0.69506,86.72,2.515,1,1,0,1.02288,5.67941
Oc1ccc2nc(oc2c1)c3ccc(O)c(O)c3,1,3.164206,5,0.65278,13.91072,5.465924,-0.12267,0.25106,0.56667,0.69506,86.72,2.515,1,1,0,1.01212,5.66388
Oc1ccc2nc(oc2c1)c3ccc(O)c(F)c3,1,3.164206,4,0.65278,13.91072,5.410368,-0.13842,0.27963,0.58242,0.72363,66.49,2.125,1,1,0,1.01615,5.67787
Oc1ccc2nc(oc2c1)c3ccc(O)c(Cl)c3,1,3.164206,4,0.65278,13.91072,0.568272,-0.12743,0.26314,0.57143,0.70714,66.49,2.087,1,1,0,0.98685,5.57641
Oc1ccc(cc1)c2oc3cc(O)c(Cl)cc3n2,1,3.163586,4,0.65278,13.91696,0.572612,-0.12743,0.26314,0.57143,0.70714,66.49,2.087,1,1,0,0.98575,5.57641
CC(C)(C)c1cc(ccc1O)c2oc3cc(O)ccc3n2,1,3.168247,4,0.61905,11.42375,5.689705,-0.07527,0.14973,0.51765,0.59211,66.49,2.014,1,1,0,0.9311,5.36486
CCCCOc1cc(ccc1O)c2oc3cc(O)ccc3n2,0,3.170482,5,0.63636,14.48562,5.573089,-0.09396,0.17259,0.5359,0.61453,75.72,2.378,1,1,0,0.93281,5.82885
Oc1ccc(cc1)c2oc3ccc(O)cc3n2,1,3.162857,4,0.64706,11.39448,5.545091,-0.09891,0.2207,0.54359,0.66539,66.49,2.117,1,1,0,0.96261,5.40842
Oc1ccc2oc(nc2c1)c3ccc(O)c(F)c3,1,3.163155,4,0.65278,13.91072,5.433424,-0.13842,0.27963,0.58242,0.72363,66.49,2.125,1,1,0,1.01612,5.67787
Oc1ccc2oc(nc2c1)c3ccc(O)c(Cl)c3,1,3.163155,4,0.65278,13.91072,0.568272,-0.12743,0.26314,0.57143,0.70714,66.49,2.087,1,1,0,0.98682,5.57641
Oc1ccc(c(Cl)c1)c2oc3ccc(O)cc3n2,1,3.161931,4,0.65278,13.9403,0.594115,-0.12743,0.26314,0.57143,0.70714,66.49,2.212,1,1,0,0.9901,5.57697
Oc1ccc(c(O)c1)c2oc3ccc(O)cc3n2,1,3.161931,5,0.65278,13.9403,5.465924,-0.12267,0.25106,0.56667,0.69506,86.72,2.377,1,1,0,1.0165,5.66443
Oc1ccc(cc1)c2oc3cc(Cl)c(O)cc3n2,1,3.163586,4,0.65278,13.91696,0.566501,-0.12743,0.26314,0.57143,0.70714,66.49,2.087,1,1,0,0.98577,5.57641
Oc1ccc(cc1F)c2oc3cc(Cl)c(O)cc3n2,1,3.163883,4,0.65789,16.43324,0.504073,-0.16686,0.32199,0.61026,0.76539,66.49,2.095,1,1,0,1.03774,5.84586
Oc1ccc(cc1F)c2oc3cc(Br)c(O)cc3n2,1,3.163883,4,0.64474,16.43324,5.551665,-0.15099,0.29818,0.59438,0.74158,66.49,2.174,1,1,0,0.99531,5.67553
Oc1ccc2oc(nc2c1)c3cccc(O)c3O,1,3.16182,5,0.65278,13.93228,5.451574,-0.12267,0.25106,0.56667,0.69506,86.72,2.515,1,1,0,1.02284,5.67941
COc1cc(O)cc2nc(oc12)c3ccc(O)cc3,1,3.171926,5,0.65789,14.23395,5.142863,-0.11397,0.22549,0.55736,0.66889,75.72,2.24,1,1,0,1.00788,5.90803
Oc1ccc(cc1)c2oc3c(Br)cc(O)cc3n2,1,3.162359,4,0.63889,13.94255,5.734327,-0.11156,0.23933,0.55556,0.68333,66.49,2.291,1,1,0,0.94348,5.40608
Oc1cc(Br)c2oc(nc2c1)c3ccc(O)c(F)c3,1,3.162656,4,0.64474,16.45879,5.62266,-0.15099,0.29818,0.59438,0.74158,66.49,2.299,1,1,0,0.99679,5.67553
Oc1cc(Br)c2oc(nc2c1)c3ccc(O)c(c3)C(F)(F)F,1,3.166693,4,0.64773,21.11544,5.53465,-0.21305,0.37219,0.65499,0.81412,66.49,2.137,1,1,0,1.07126,6.10079
Oc1ccc(c(F)c1)c2oc3c(Br)cc(O)cc3n2,1,3.161433,4,0.64474,16.48821,5.57516,-0.15099,0.29818,0.59438,0.74158,66.49,2.304,1,1,0,1.00135,5.67608
Cc1cc(O)ccc1c2oc3c(Br)cc(O)cc3n2,1,3.161433,4,0.63158,13.93679,5.81516,-0.10343,0.21408,0.54683,0.65747,66.49,2.267,1,1,0,0.94003,5.4626
Oc1ccc(cc1)c2oc3c(cc(O)cc3n2)C#N,1,5.658026,5,0.64474,13.91128,5.544628,-0.1241,0.2529,0.5675,0.6963,90.28,2.592,2,2,0,1.06027,6.13886
Oc1cc(C#N)c2oc(nc2c1)c3ccc(O)c(F)c3,1,5.658339,5,0.65,16.42781,5.432961,-0.1625,0.30952,0.60536,0.75238,90.28,2.6,2,2,0,1.10966,6.4083
Oc1ccc(c(F)c1)c2oc3c(cc(O)cc3n2)C#N,1,5.657051,5,0.65,16.45758,5.385461,-0.1625,0.30952,0.60536,0.75238,90.28,2.605,2,2,0,1.11457,6.40885
Oc1ccc(cc1)c2oc3c(CBr)cc(O)cc3n2,1,3.171926,4,0.63158,13.91128,5.804535,-0.10343,0.21408,0.54683,0.65747,66.49,2.329,1,1,0,0.87158,4.95856
Oc1ccc(cc1)c2oc3c(C=O)cc(O)cc3n2,1,3.171926,5,0.64474,13.91128,5.535878,-0.12652,0.25184,0.56992,0.69524,83.56,2.588,2,1,0,1.04468,6.05523
CCOC(=O)c1cc(O)cc2nc(oc12)c3ccc(O)cc3,1,3.178415,6,0.64773,16.85102,4.950851,-0.12959,0.23045,0.57153,0.67238,92.79,2.524,3,1,0,1.05268,6.39409
NC(=O)c1cc(O)cc2nc(oc12)c3ccc(O)cc3,1,5.603644,6,0.65,16.29245,5.245658,-0.13311,0.2527,0.57597,0.69556,109.58,2.989,3,2,0,1.0728,6.18883
CCc1cc(O)cc2nc(oc12)c3ccc(O)cc3,1,3.171926,4,0.63158,11.42518,5.767128,-0.08549,0.17848,0.52889,0.62188,66.49,2.093,1,1,0,0.9419,5.40615
CCCc1cc(O)cc2nc(oc12)c3ccc(O)cc3,0,3.17671,4,0.625,11.44549,5.828794,-0.08006,0.16286,0.52292,0.60571,66.49,2.093,1,1,0,0.92107,5.40615
CC(C)c1cc(O)cc2nc(oc12)c3ccc(O)cc3,1,3.173631,4,0.625,11.43242,5.837544,-0.08006,0.16286,0.52292,0.60571,66.49,2.054,1,1,0.227054,0.93667,5.38028
CCCCc1cc(O)cc2nc(oc12)c3ccc(O)cc3,0,3.179101,4,0.61905,11.45565,5.873296,-0.07527,0.14973,0.51765,0.59211,66.49,2.093,1,1,0,0.89889,5.40615
Oc1ccc(cc1)c2oc3c(cc(O)cc3n2)C#C,1,3.171926,4,0.63158,11.42518,5.624628,-0.08549,0.22446,0.52889,0.66786,66.49,2.202,1,1,0,1.05426,6.11326
Oc1ccc(cc1)c2oc3c(CC=C)cc(O)cc3n2,1,3.17671,4,0.625,11.44549,5.781017,-0.08006,0.18139,0.52292,0.62424,66.49,2.133,1,1,0,0.99513,5.97103
Oc1cc(CC=C)c2oc(nc2c1)c3ccc(O)c(F)c3,1,3.177007,4,0.63095,13.96216,5.66935,-0.11209,0.22776,0.55446,0.67013,66.49,2.141,1,1,0,1.04551,6.24048
Oc1ccc(c(F)c1)c2oc3c(CC=C)cc(O)cc3n2,1,3.175784,4,0.63095,13.99214,5.62185,-0.11209,0.22776,0.55446,0.67013,66.49,2.146,1,1,0,1.05016,6.24103
Oc1ccc(cc1)c2oc3c(C=C)cc(O)cc3n2,1,3.171926,4,0.63158,11.42518,5.695878,-0.08549,0.19994,0.52889,0.64333,66.49,2.133,1,1,0,1.03091,5.98789
Oc1cc(C=C)c2oc(nc2c1)c3ccc(O)c(F)c3,1,3.172223,4,0.6375,13.9417,5.584211,-0.11968,0.25095,0.56254,0.69381,66.49,2.141,1,1,0,1.08108,6.25733
Oc1cc(\C=C/F)c2oc(nc2c1)c3ccc(O)c(F)c3,1,3.177007,4,0.64286,16.41233,5.499211,-0.15382,0.30191,0.59619,0.74429,66.49,2.234,1,1,0,1.08525,6.52706
C\C=C/c1cc(O)cc2nc(oc12)c3ccc(O)cc3,1,3.17671,4,0.625,11.44549,5.777544,-0.08006,0.18139,0.52292,0.62424,66.49,2.193,1,1,0,0.99909,6.06428
Oc1ccc(cc1)c2oc3c(\C=C/Br)cc(O)cc3n2,1,3.17671,4,0.625,13.89565,5.803522,-0.0964,0.21603,0.53926,0.65889,66.49,2.429,1,1,0,0.9422,5.7812
Oc1ccc(c(F)c1)c2oc3c(\C=C/Br)cc(O)cc3n2,1,3.175784,4,0.63095,16.44227,5.644355,-0.13054,0.26699,0.57291,0.70937,66.49,2.442,1,1,0,0.99824,6.0512
C\C=C/c1cc(O)cc2nc(oc12)c3ccc(O)cc3F,1,3.175784,4,0.63095,13.99214,5.618378,-0.11209,0.22776,0.55446,0.67013,66.49,2.206,1,1,0,1.05387,6.33428
Oc1ccc(c(F)c1)c2oc3c(C=C)cc(O)cc3n2,1,3.171,4,0.6375,13.97153,5.536711,-0.11968,0.25095,0.56254,0.69381,66.49,2.146,1,1,0,1.08589,6.25788
Oc1cc(C=C)c2oc(nc2c1)c3ccc(O)c(F)c3F,1,3.171161,4,0.64286,16.46865,5.425044,-0.15382,0.30191,0.59619,0.74429,66.49,2.111,1,1,0,1.13881,6.54231
Oc1cc(F)c(c(F)c1)c2oc3c(C=C)cc(O)cc3n2,1,3.169605,4,0.64286,16.51436,5.377544,-0.15382,0.30191,0.59619,0.74429,66.49,2.121,1,1,0,1.14171,6.52788
Oc1cc(C=C)c2oc(nc2c1)c3cc(F)c(O)cc3F,1,3.170865,4,0.64286,16.4854,5.425044,-0.15382,0.30191,0.59619,0.74429,66.49,2.154,1,1,0,1.13604,6.52733
Cc1cc(O)ccc1c2oc3c(C=C)cc(O)cc3n2,1,3.171,4,0.625,11.41947,5.776711,-0.08006,0.18139,0.52292,0.62424,66.49,2.109,1,1,0,1.02867,6.0444
Oc1ccc(cc1)c2oc3c(cc(O)cc3n2)c4ccccc4,1,3.185026,4,0.63043,11.4808,5.930657,-0.07033,0.18452,0.51636,0.63056,66.49,2.559,1,1,0,1.089,7.29684
Oc1ccc(cc1)c2oc3c(cc(O)cc3n2)c4occc4,1,3.183665,5,0.65909,14.51409,5.381407,-0.09867,0.22505,0.54533,0.67172,79.63,2.459,1,1,0,1.08173,7.06737
Oc1cc(c2occc2)c3oc(nc3c1)c4ccc(O)c(F)c4,1,3.183963,5,0.66304,17.03099,5.340522,-0.12959,0.27157,0.57562,0.71761,79.63,2.467,1,1,0,1.12776,7.33682
Oc1ccc(cc1)c2oc3c(cc(O)cc3n2)c4cccs4,1,3.183665,4,0.63636,14.51409,-1.13239,-0.08867,0.2099,0.53533,0.65657,94.73,2.459,1,1,0,1.05252,6.87011
Oc1ccc(cc1)c2oc3c(cc(O)cc3n2)c4nccs4,1,6.222735,5,0.65909,17.55316,-1.2435,-0.10681,0.23354,0.55347,0.68021,107.62,2.632,2,2,0,1.06456,6.95319
Oc1ccc(cc1)c2oc3c(cc(O)cc3n2)C4CCCC4,1,3.183665,4,0.63636,11.47503,5.988656,-0.07449,0.14821,0.52115,0.59487,66.49,2.204,1,1,0.440016,0.87735,5.38028
Oc1ccc(cc1F)c2oc3c(C=C)cc(O)c(Br)c3n2,1,3.167522,4,0.63095,16.47777,5.702452,-0.13054,0.26699,0.57291,0.70937,66.49,2.19,1,1,0,1.06307,6.27052
Oc1ccc(c(O)c1)c2noc3cc(O)ccc23,1,3.133058,5,0.63889,13.87184,5.085899,-0.12267,0.25106,0.56667,0.69506,86.72,2.337,0,1,0,1.01789,5.65326
Oc1ccc(c(O)c1)c2noc3ccccc23,1,3.132229,4,0.63235,11.32674,5.165065,-0.09891,0.2207,0.54359,0.66539,66.49,2.039,0,1,0,0.97573,5.41278
Oc1ccc2c(noc2c1)c3ccccc3O,1,3.132482,4,0.63235,11.35003,5.118159,-0.09891,0.2207,0.54359,0.66539,66.49,2.077,0,1,0,0.97504,5.41278
Oc1ccc(cc1)c2noc3cc(O)ccc23,1,3.133984,4,0.63235,11.3245,5.14201,-0.09891,0.2207,0.54359,0.66539,66.49,2.077,0,1,0,0.96334,5.39725
Oc1ccc(c(O)c1)c2noc3ccc(O)cc23,1,3.133268,5,0.63889,13.87486,5.108954,-0.12267,0.25106,0.56667,0.69506,86.72,2.337,0,1,0,1.02097,5.65326
Oc1ccc(cc1)c2noc3ccc(O)cc23,1,3.134194,4,0.63235,11.32759,5.165065,-0.09891,0.2207,0.54359,0.66539,66.49,2.077,0,1,0,0.9661,5.39725
Oc1ccc2c(noc2c1)c3ccc(O)c(Cl)c3,1,3.134281,4,0.63889,13.84122,0.576507,-0.12743,0.26314,0.57143,0.70714,66.49,2.047,0,1,0,0.98772,5.56524
Oc1ccc(c(c1)C#N)c2noc3cc(O)ccc23,1,5.622506,5,0.63158,13.82596,5.132101,-0.1241,0.2529,0.5675,0.6963,90.28,2.552,1,2,0,1.06558,6.12807
Oc1ccc2c(noc2c1)c3ccc(O)c(Br)c3,1,3.134281,4,0.625,13.84122,5.200967,-0.11156,0.23933,0.55556,0.68333,66.49,2.126,0,1,0,0.94264,5.39491
Oc1ccc2c(noc2c1)c3ccc(O)c(F)c3,1,3.134281,4,0.63889,13.84122,5.059432,-0.13842,0.27963,0.58242,0.72363,66.49,2.085,0,1,0,1.01739,5.6667
Cc1cc(ccc1O)c2noc3cc(O)ccc23,1,3.134281,4,0.625,11.31624,5.181881,-0.09171,0.19738,0.53571,0.64138,66.49,2.053,0,1,0,0.95927,5.45338
Cc1cc(O)ccc1c2noc3cc(O)ccc23,1,3.133058,4,0.625,11.31911,5.19701,-0.09171,0.19738,0.53571,0.64138,66.49,2.053,0,1,0,0.96122,5.45377
CCCc1cc(O)ccc1c2noc3cc(O)ccc23,1,3.142023,4,0.6125,11.35418,5.275153,-0.08006,0.16286,0.52292,0.60571,66.49,2.053,0,1,0,0.92303,5.39537
CCCc1cc(ccc1O)c2noc3cc(O)ccc23,1,3.139302,4,0.6125,11.36056,5.241854,-0.08006,0.16286,0.52292,0.60571,66.49,2.053,0,1,0,0.91879,5.39498
Cc1c(O)ccc(c1O)c2noc3cc(O)ccc23,1,3.133219,5,0.63158,13.85893,5.12577,-0.11397,0.22549,0.55736,0.66889,86.72,2.313,0,1,0,1.01519,5.72493
Oc1ccc(c(CC#N)c1)c2noc3cc(O)ccc23,1,5.590865,5,0.625,13.80302,5.192244,-0.11528,0.22714,0.55814,0.67,90.28,2.856,1,2,0,1.04369,6.24791
O\N=C\c1cc(O)ccc1c2noc3cc(O)ccc23,1,5.898102,6,0.6375,16.5591,5.168151,-0.13311,0.2527,0.57597,0.69556,99.08,2.55,0,2,0,1.04706,6.30945
Oc1ccc2c(noc2c1)c3cc(Br)c(O)cc3O,1,3.132922,5,0.63158,16.38606,5.144856,-0.13494,0.26895,0.57833,0.71235,86.72,2.386,0,1,0,0.99738,5.65092
Oc1ccc2c(noc2c1)c3cc(Cl)c(O)cc3O,1,3.132922,5,0.64474,16.38606,0.460554,-0.15041,0.29188,0.59381,0.73527,86.72,2.307,0,1,0,1.0421,5.82126
Cc1cc(c(O)cc1O)c2noc3cc(O)ccc23,1,3.132922,5,0.63158,13.86152,5.12577,-0.11397,0.22549,0.55736,0.66889,86.72,2.313,0,1,0,1.01389,5.70939
CCCc1cc(c(CC)cc1O)c2noc3cc(O)ccc23,1,3.143601,4,0.60227,11.37443,5.341355,-0.07103,0.13855,0.51296,0.58049,66.49,2.029,0,1,0,0.90203,5.39311
CCCc1cc(c(CCC)cc1O)c2noc3cc(O)ccc23,1,3.14655,4,0.59783,11.38574,5.374997,-0.06723,0.12892,0.50877,0.57045,66.49,2.029,0,1,0,0.88559,5.39311
Oc1ccc2c(noc2c1)c3ccc4cc(O)ccc4c3,1,3.144581,4,0.63095,11.36153,5.265453,-0.07916,0.19951,0.52653,0.64688,66.49,2.419,0,1,0,1.03706,6.60348
Oc1ccc2c(noc2c1)c3ccc4c(O)cccc4c3,1,3.144461,4,0.63095,11.37978,5.260682,-0.07916,0.19951,0.52653,0.64688,66.49,2.419,0,1,0,1.04234,6.61901
Oc1ccc2c(noc2c1)c3ccc4c(Br)c(O)ccc4c3,1,3.144516,4,0.625,13.90119,5.300725,-0.08939,0.21479,0.53605,0.66146,66.49,2.468,0,1,0,1.01825,6.61706
Oc1ccc2cc(ccc2c1)c3noc4ccc(O)cc34,1,3.144792,4,0.63095,11.36483,5.288508,-0.07916,0.19951,0.52653,0.64688,66.49,2.419,0,1,0,1.03994,6.60348
Oc1ccc2c(noc2c1)c3cccc4cc(O)ccc34,1,3.148501,4,0.63095,11.37031,5.297535,-0.07916,0.19951,0.52653,0.64688,66.49,2.419,0,1,0,1.05063,6.6194
Oc1ccc2c(noc2c1)c3cccc4c(O)cccc34,1,3.148413,4,0.63095,11.38801,5.290931,-0.07916,0.19951,0.52653,0.64688,66.49,2.419,0,1,0,1.05655,6.63493
Oc1ccc2c(noc2c1)c3cccc4ccc(O)cc34,1,3.148371,4,0.63095,11.37252,5.290931,-0.07916,0.19951,0.52653,0.64688,66.49,2.419,0,1,0,1.05365,6.6194
Oc1ccc2nc(oc2c1)c3cccc4c(O)cccc34,1,3.178338,4,0.64286,11.46424,5.730147,-0.07916,0.19951,0.52653,0.64688,66.49,2.459,1,1,0,1.05485,6.6461
Oc1ccc2nc(oc2c1)c3cccc4cc(O)ccc34,1,3.178426,4,0.64286,11.44661,5.739649,-0.07916,0.19951,0.52653,0.64688,66.49,2.459,1,1,0,1.049,6.63057
Oc1ccc2nc(oc2c1)c3ccc(O)c4ccccc34,1,3.177995,4,0.64286,11.47236,5.730147,-0.07916,0.19951,0.52653,0.64688,66.49,2.459,1,1,0,1.05485,6.6461
Oc1ccc2nc(oc2c1)c3cccc4ccccc34,1,3.178251,3,0.6375,8.899377,5.771909,-0.0588,0.17228,0.50694,0.62043,46.26,2.161,1,1,0,1.00981,6.39009
Oc1ccc2nc(oc2c1)c3cccc4c(Br)c(O)ccc34,1,3.178417,4,0.63636,13.98738,5.798606,-0.08939,0.21479,0.53605,0.66146,66.49,2.508,1,1,0,1.03075,6.64415
Oc1ccc2c(cccc2c1)c3oc4cc(O)c(F)cc4n3,1,3.178092,4,0.64773,13.9699,5.627982,-0.11077,0.24753,0.55743,0.6942,66.49,2.467,1,1,0,1.09483,6.90002
Oc1ccc2c(cccc2c1)c3oc4ccc(O)cc4n3,1,3.177375,4,0.64286,11.44661,5.762704,-0.07916,0.19951,0.52653,0.64688,66.49,2.459,1,1,0,1.04897,6.63057
Cc1cc(O)c2cccc(c3oc4cc(O)ccc4n3)c2c1,1,3.178253,4,0.63636,11.46013,5.770019,-0.07449,0.18191,0.52115,0.62857,66.49,2.435,1,1,0,1.05039,6.6867
Oc1ccc2cc(ccc2c1)c3oc4ccc(O)cc4n3,1,3.173455,4,0.64286,11.43628,5.710117,-0.07916,0.19951,0.52653,0.64688,66.49,2.459,1,1,0,1.0357,6.61465
Oc1ccc(cc1)C2=C(Br)c3ccc(O)cc3C2=O,1,0,3,0.59211,10.25451,9.321799,-0.09391,0.21256,0.5373,0.65595,57.53,2.46,1,0,0,0.90875,5.24053
CC1=C(C(=O)c2cc(O)ccc12)c3ccc(O)cc3,1,0,3,0.59211,7.658967,9.307187,-0.0766,0.17596,0.52,0.61936,57.53,2.224,1,0,0,0.98477,5.49895
CSC1=C(C(=O)c2cc(O)ccc12)c3ccc(O)cc3,1,0,3,0.5875,10.50965,-1.23364,-0.08685,0.18735,0.52971,0.63021,82.83,2.413,1,0,0,0.93482,5.15966
CCSC1=C(C(=O)c2cc(O)ccc12)c3ccc(O)cc3,1,0,3,0.58333,10.66377,-1.25885,-0.08144,0.17096,0.52381,0.61333,82.83,2.413,1,0,0,0.9152,5.21993
Oc1ccc(cc1)C2=C(c3ccccc3)c4ccc(O)cc4C2=O,1,0,3,0.59375,7.695347,9.524219,-0.05972,0.1677,0.50517,0.61316,57.53,2.65,1,0,0,1.12651,7.35008
COc1cc(O)cc2C(=O)C(=C(Br)c12)c3ccc(O)cc3,1,0,4,0.60714,13.07834,5.310965,-0.10835,0.21804,0.55073,0.66042,66.76,2.583,1,0,0,0.9526,5.7407
Oc1ccc(cc1)C2=C(Br)c3c(O)cc(O)cc3C2=O,1,0,4,0.6,12.80098,9.325915,-0.11606,0.24105,0.55892,0.68391,77.76,2.72,1,0,0,0.96105,5.49655
CSC1=C(C(=O)c2cc(O)cc(O)c12)c3ccc(O)cc3,1,0,4,0.59524,13.06422,-1.42688,-0.10727,0.21318,0.54965,0.65556,103.06,2.673,1,0,0,0.98801,5.41567
CCSC1=C(C(=O)c2cc(O)cc(O)c12)c3ccc(O)cc3,1,0,4,0.59091,13.22212,-1.45209,-0.10073,0.1951,0.54267,0.63704,103.06,2.673,1,0,0,0.96874,5.47594
Oc1ccc(cc1)C2=C(c3ccccc3)c4c(O)cc(O)cc4C2=O,1,0,4,0.6,10.26162,9.528334,-0.07654,0.19012,0.52147,0.63504,77.76,2.91,1,0,0,1.17614,7.60609
Oc1ccc(cc1)C2=C(Br)c3cc(O)ccc3C2=O,1,0,3,0.59211,10.25451,9.321799,-0.09391,0.21256,0.5373,0.65595,57.53,2.46,1,0,0,0.90774,5.24053
COc1ccc2C(=O)C(=C(Br)c2c1)c3ccc(O)cc3,1,0,3,0.6,10.51914,5.238733,-0.08751,0.19155,0.53037,0.63441,46.53,2.323,1,0,0,0.89895,5.48469
CC1=C(C(=O)c2ccc(O)cc12)c3ccc(O)cc3,1,0,3,0.59211,7.659496,9.307187,-0.0766,0.17596,0.52,0.61936,57.53,2.224,1,0,0,0.98426,5.49895
CSC1=C(C(=O)c2ccc(O)cc12)c3ccc(O)cc3,1,0,3,0.5875,10.51094,-1.26901,-0.08685,0.18735,0.52971,0.63021,82.83,2.413,1,0,0,0.93444,5.15966
CCSC1=C(C(=O)c2ccc(O)cc12)c3ccc(O)cc3,1,0,3,0.58333,10.66563,-1.29421,-0.08144,0.17096,0.52381,0.61333,82.83,2.413,1,0,0,0.91503,5.21993
Oc1ccc(cc1)C2=C(c3ccccc3)c4cc(O)ccc4C2=O,1,0,3,0.59375,7.698569,9.524219,-0.05972,0.1677,0.50517,0.61316,57.53,2.65,1,0,0,1.12763,7.35008
